,Date,Article,Page_url,Source
70,2020-04-05 23:50:45+00:00,Indian envoy to Tehran visits Indian pilgrims stranded in Qom,https://www.business-standard.com/article/news-ani/indian-envoy-to-tehran-visits-indian-pilgrims-stranded-in-qom-120040600096_1.html,http://www.business-standard.com/
71,2020-04-05 23:50:45+00:00,Canadians belt out Hip song ‘Bobcaygeon’ in support of town grappling with COVID-19 outbreak,https://globalnews.ca/news/6781803/canadians-sing-bobcaygeon-covid-19/,http://globalnews.ca/
72,2020-04-05 23:50:43+00:00,"73 new deaths, 3, 135 fresh cases of COVID-19 in 24 hours in Turkey",https://www.business-standard.com/article/news-ani/73-new-deaths-3-135-fresh-cases-of-covid-19-in-24-hours-in-turkey-120040600098_1.html,http://www.business-standard.com/
73,2020-04-05 23:50:43+00:00,"Citizens brighten city sky with diyas, burst crackers | Kanpur News - Times of India",https://timesofindia.indiatimes.com/city/kanpur/citizens-brighten-city-sky-with-diyas-burst-crackers/articleshow/74999819.cms,http://timesofindia.indiatimes.com/
74,2020-04-05 23:50:43+00:00,"New York state’s coronavirus death toll nears 4,200, but hope may be in sight",https://globalnews.ca/news/6781857/new-york-coronavirus-hope/,http://globalnews.ca/
75,2020-04-05 23:50:42+00:00,Power ministry approves 3 months moratorium on Discoms to make payment to Gencos and transmission licensees,https://www.business-standard.com/article/news-cm/power-ministry-approves-3-months-moratorium-on-discoms-to-make-payment-to-gencos-and-transmission-licensees-120032800349_1.html,http://www.business-standard.com/
76,2020-04-05 23:50:42+00:00,West Island’s Family Resource Centre ready to help families during COVID-19 crisis,https://globalnews.ca/news/6776504/west-island-family-resources-centre-covid-19/,http://globalnews.ca/
77,2020-04-05 23:50:41+00:00,Trump 'hopeful and sure' British PM will recover from virus,https://www.business-standard.com/article/pti-stories/trump-hopeful-and-sure-british-pm-will-recover-from-virus-120040600101_1.html,http://www.business-standard.com/
78,2020-04-05 23:50:40+00:00,Canadian health care services shift online amid COVID-19 pandemic,https://globalnews.ca/news/6781772/canadian-healthcare-services-online-covid-19/,http://globalnews.ca/
79,2020-04-05 23:50:38+00:00,Telangana reports 62 new COVID-19 cases,https://www.business-standard.com/article/news-ani/telangana-reports-62-new-covid-19-cases-120040600100_1.html,http://www.business-standard.com/
80,2020-04-05 23:50:37+00:00,Boris Johnson admitted to hospital for COVID-19 tests,https://www.business-standard.com/article/pti-stories/boris-johnson-admitted-to-hospital-for-covid-19-tests-120040600094_1.html,http://www.business-standard.com/
81,2020-04-05 23:50:37+00:00,"Trump attacks media, says he doesn't want 350 million Americans tested for coronavirus",https://news.google.com/__i/rss/rd/articles/CBMiK2h0dHBzOi8vd3d3LnlvdXR1YmUuY29tL3dhdGNoP3Y9YVBXeVBHazVpQmPSAQA?oc=5,http://news.google.it/
82,2020-04-05 23:50:33+00:00,"6 residents at an Oshawa, Ont. long-term care home have died of COVID-19",https://globalnews.ca/news/6781673/oshawa-care-home-covid-19-6-deaths/,http://globalnews.ca/
83,2020-04-05 23:50:32+00:00,Coronavirus pandemic | UEFA chief hopeful that season can still be saved despite COVID-19 outbreak,https://www.moneycontrol.com/news/sports/coronavirus-pandemic-%7C-uefa-chief-hopeful-that-season-can-still-be-saved-despite-covid-19-outbreak_13623001.html,http://www.moneycontrol.com/
84,2020-04-05 23:50:29+00:00,Lodi Church Holds Palm Sunday Services Days After Facility Is Ordered To Close Amid COVID-19 Crisis,https://sacramento.cbslocal.com/2020/04/05/lodi-church-holds-palm-sunday-services-days-after-facility-is-ordered-to-close-amid-covid-19-crisis/,http://sacramento.cbslocal.com/
85,2020-04-05 23:50:19+00:00,"We may never get a vaccine for COVID-19, an infectious diseases expert has warned",http://feedproxy.google.com/~r/newscomauworldnewsndm/~3/oIKhsJx6Zto/00d35352f3476dd2a508f57fbd1e5425,http://www.news.com.au/
86,2020-04-05 23:50:08+00:00,Trump voices hope for 'leveling-off' of coronavirus in hot spots,http://feeds.reuters.com/~r/reuters/healthNews/~3/FjckhpBoqO8/trump-voices-hope-for-leveling-off-of-coronavirus-in-u-s-hot-spots-idUSKBN21N0ZU,http://reuters.com/
87,2020-04-05 23:49:22+00:00,Coronavirus: 'Virtual check-in' trialled at two Auckland supermarkets to help ease queues,https://www.stuff.co.nz/national/120839752/coronavirus-virtual-checkin-trialled-at-two-auckland-supermarkets-to-help-ease-queues.html,http://www.stuff.co.nz/
88,2020-04-05 23:49:22+00:00,How to persuade elderly parents and grandparents to stay home: Away from coronavirus,https://www.stuff.co.nz/life-style/well-good/teach-me/120840208/how-to-persuade-elderly-parents-and-grandparents-to-stay-home-away-from-coronavirus.html,http://www.stuff.co.nz/
89,2020-04-05 23:49:22+00:00,Security patrols report no dramas in Feilding town centre,https://www.stuff.co.nz/manawatu-standard/news/120826128/security-patrols-report-no-dramas-in-feilding-town-centre.html,http://www.stuff.co.nz/
90,2020-04-05 23:49:03+00:00,US stock futures rise and oil drops 8.5% after OPEC meeting postponed,http://rss.cnn.com/~r/rss/cnn_latest/~3/tchO9jVkwWM/index.html,http://edition.cnn.com/
91,2020-04-05 23:49:03+00:00,Washington governor slams Trump administration for comparing coronavirus' grim outlook to Pearl Harbor,http://rss.cnn.com/~r/rss/cnn_latest/~3/EuCU272QDNQ/index.html,http://edition.cnn.com/
